
---------- Begin Simulation Statistics ----------
system.cpu_cluster.cpus.statFuBusy::SimdPredAlu            0      0.00%      1.14% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::MemRead         1038     98.86%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::MemWrite            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMemRead            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMemWrite            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IprAccess            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::InstPrefetch            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::IntAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::IntMult            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::IntDiv           12      0.45%      0.45% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatAdd            0      0.00%      0.45% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatCmp            0      0.00%      0.45% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatCvt            0      0.00%      0.45% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMult            0      0.00%      0.45% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMultAcc            0      0.00%      0.45% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatDiv            0      0.00%      0.45% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMisc            0      0.00%      0.45% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatSqrt            0      0.00%      0.45% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAdd            0      0.00%      0.45% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAddAcc            0      0.00%      0.45% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAlu            1      0.04%      0.49% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdCmp            0      0.00%      0.49% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdCvt            0      0.00%      0.49% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdMisc            0      0.00%      0.49% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdMult            0      0.00%      0.49% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdMultAcc            0      0.00%      0.49% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdShift            0      0.00%      0.49% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdShiftAcc            0      0.00%      0.49% # attempts to use FU when none available (Count)
