
---------- Begin Simulation Statistics ----------
system.cpu_cluster.cpus.statAvgFUUtilization::SimdSha256Hash2     0.000086      0.02%     45.65% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdShaSigma2     0.000086      0.02%     45.67% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdShaSigma3     0.000086      0.02%     45.69% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdPredAlu     0.022319      6.12%     51.82% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::MemRead     0.036761     10.09%     61.90% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::MemWrite     0.038173     10.47%     72.38% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatMemRead     0.036761     10.09%     82.46% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatMemWrite     0.038173     10.47%     92.93% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::IprAccess     0.025759      7.07%    100.00% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::InstPrefetch            0      0.00%    100.00% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statFuBusyPerThreadCollective::0            6                       # Number of times instruction not issued because FU not available, per thread (Count)
system.cpu_cluster.cpus.statFuBusyPerThreadCollective::1            0                       # Number of times instruction not issued because FU not available, per thread (Count)
system.cpu_cluster.cpus.statFuBusyPerThreadCollective::2            0                       # Number of times instruction not issued because FU not available, per thread (Count)
system.cpu_cluster.cpus.statFuBusyPerThreadCollective::3            0                       # Number of times instruction not issued because FU not available, per thread (Count)
system.cpu_cluster.cpus.statFuBusyPerThreadCollective::total            6                       # Number of times instruction not issued because FU not available, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::No_OpClass           38      0.24%      0.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::IntAlu        10944     68.61%     68.84% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::IntMult            6      0.04%     68.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::IntDiv            5      0.03%     68.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::FloatAdd            0      0.00%     68.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::FloatCmp            0      0.00%     68.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::FloatCvt            0      0.00%     68.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::FloatMult            0      0.00%     68.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::FloatMultAcc            0      0.00%     68.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::FloatDiv            0      0.00%     68.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::FloatMisc            0      0.00%     68.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::FloatSqrt            0      0.00%     68.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdAdd           11      0.07%     68.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdAddAcc            0      0.00%     68.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdAlu            8      0.05%     69.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdCmp            8      0.05%     69.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdCvt            0      0.00%     69.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdMisc            9      0.06%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdMult            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdMultAcc            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdShift            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdShiftAcc            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdDiv            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdSqrt            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdFloatAdd            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdFloatAlu            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdFloatCmp            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdFloatCvt            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdFloatDiv            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdFloatMisc            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdFloatMult            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdReduceAdd            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdReduceAlu            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdReduceCmp            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
system.cpu_cluster.cpus.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     69.14% # Number of instructions issued per FU type, per thread (Count)
